course_offering_id,learner_activity_id,title,learner_activity_group_id,due_date,points_possible,status
114572,21965,Lesson Plan 1 Support Materials,77329,2017-10-21T04:59:59,0,published
113973,28849,R&A 13,19994,2017-12-05T18:00:00,5,published
109432,100058,Downplaying Racism,87734,2017-11-07T17:00:00,,published
111036,174464,PLQ5-Animal Behavior,2306,2017-09-26T13:20:00,5,published
111036,171469,Ace Rubric,69455,2017-12-05T05:59:00,0,published
110673,176187,Evaluating a Grant Proposal,135971,2017-10-04T04:59:59,100,published
116005,224267,First 100 pages of Strengths Based Leadership,106217,2016-08-26T04:59:59,5,published
109407,221790,Chapter 1: Rewriting by Joseph Harris,86551,2017-09-02T04:59:59,10,deleted
105963,215503,Chapter 2. The Accounting Cycle: During the Period,52277,2017-09-04T03:59:00,100,published
115594,270714,Homework #7 - 4562 Submission,40776,2017-10-11T22:00:00,40,published
116424,275264,Exam 1,46973,2017-09-25T04:59:59,100,published
106486,312078,W6.Discussion: Values & Strengths,62227,2017-10-02T04:59:00,3,published
114204,283734,Exam Review 2,114818,2017-10-21T02:31:00,10,published
114204,393914,Discussion #6: Sex and Gender,149983,2017-10-23T14:31:00,10,published
116674,504808,Pre-Lab 6 Dropbox,40245,2017-11-01T19:30:00,5,published
114204,549571,Discussion #3: Social Structure and Interaction,149983,2017-09-11T14:31:00,10,published
115594,599471,Week 3 - Option 3,42680,2017-09-13T16:00:00,10,published
116005,588894,Board of Directors,106217,2017-10-20T04:59:00,1,published
113973,571034,Unit 4 readings: Do people present their ideal selves on social media?,88873,2017-09-14T17:00:00,,published
116692,7047,Letter Grade,118143,,0,published
115118,63884,Annotated Bibliography,63757,2017-09-29T17:00:00,30,published
114572,109438,Individual Reflection after micro-teaching,77329,2017-12-02T05:59:00,7,published
106045,110807,SummitLNK EC,119852,,0,published
105963,94730,Chapter 8. Current Liabilities,52277,2017-10-30T03:59:00,100,published
116692,117023,Minutes 11/6/17,118143,2017-11-07T05:59:59,5,published
109407,153050,Chapter 2 - The Truth About Stories by Thomas King ,86551,2017-09-09T04:59:00,10,published
105963,182937,Chapter 3 Quiz,131140,2017-09-20T03:59:00,100,published
109522,188040,Using Harris Moves: Responding to Adam's Research Essay,7701,2017-11-09T16:30:00,50,published
108686,217030,Posting Chapter Report,13555,2017-09-26T04:59:59,,published
115594,252395,Homework #5 - Sch F Submission,40776,2017-09-27T16:00:00,75,published
109408,348003,"P3 Revisions, Multi-Part Author's Note, Works Cited/Consulted Page, & Reflection",90635,2017-12-15T05:59:00,135,published
111053,434165,TOL: 1 (Figures&Statistics),83280,2017-09-05T04:59:00,10,published
109407,404747,Chapter 4 - Rewriting by Joseph Harris ,86551,2017-10-21T04:59:00,10,published
111036,593771,PLQ9-Ecological Controls,2306,2017-11-07T14:20:00,5,published
111050,106207,TT2: Deep Tree,58074,2017-11-01T19:30:00,15,published
111045,107866,Plant Write-up,44424,2017-11-08T00:20:00,50,published
106384,89300,Reading Oct. 10: Stokstad Ch 5.6–5.7,119441,2017-10-10T16:00:00,,published
105960,140058,"8b Learn Smart LO 6,7,9",123161,2017-10-05T20:30:00,1.5,published
