learner_activity_group_id,course_offering_id,name,group_weight,status
17300,105963,N/A,0,available
73799,107547,Exam,0,available
12226,114265,Labs,25,available
93455,114481,Quiz,0,deleted
43521,114481,Quiz,20,available
46190,111367,Quiz,0,deleted
114910,107051,Team,0,available
25181,106235,Exams,41,available
143878,115662,Exams,50,available
27459,111225,Exams,0,available
7204,116742,Exams,50,available
117089,107402,Exams,45,available
54823,105978,Exams,0,available
85988,105977,Exams,0,available
86271,113937,Exams,0,available
107470,111173,Exams,0,available
130296,115666,Exams,50,available
107750,116424,Revel,0,deleted
80577,110341,exams,0,available
74095,106674,iRATs,15,available
50259,110539,ACCT 1,0,deleted
140428,111259,Letter,0,deleted
139330,109395,Papers,70,available
111474,110539,TOTAL ,0,available
146624,115042,Unit 1,0,available
120778,116270,Quizzes,0,available
145470,113672,Surveys,0,available
1197,112993,Activity,0,available
100276,106979,Homework,30,available
143594,110181,Homework,10,available
69047,109959,Homework,11,available
11763,115533,Homework,40,available
68986,115999,Module 6,0,available
14527,109440,Readings,0,available
123938,108465,Readings,0,deleted
87734,109432,Readings,0,available
64707,113934,Readings,0,deleted
19751,110990,Unsorted,0,deleted
82868,111034,Unsorted,0,available
150733,116377,Unsorted,0,available
5277,106475,August 22,0,available
115378,109210,CPC Paper,0,available
54945,106973,NAAP Labs,12,available
38216,109123,Resources,0,available
40990,109396,Roll Call,0,available
52417,117028,クイズ,15,available
103357,116020,Assessment,0,available
40776,115594,Assignment,0,available
3946,108570,Attendance,0,deleted
98456,106827,Attendance,0,available
119773,110778,Attendance,7,available
131503,109124,Discussion,0,available
97249,113366,Discussion,0,deleted
2150,113365,LearnSmart,0,available
118143,116692,buildStuff,0,available
133855,111036,Assignments,0,available
76342,107287,Assignments,0,available
14348,106111,Assignments,0,available
88878,110666,Assignments,20,available
71926,105979,Assignments,93,available
119318,113726,Assignments,0,available
5193,114230,Assignments,0,available
77329,114572,Assignments,0,available
43107,109388,Assignments,0,available
96337,106674,Assignments,0,deleted
123025,109940,Assignments,0,available
22352,110205,Assignments,0,available
105778,109195,Assignments,0,available
35005,106469,Assignments,0,available
128515,116684,Assignments,0,available
82795,106839,Assignments,0,deleted
51121,114570,Assignments,0,available
68258,107410,Assignments,0,available
60205,110036,Assignments,0,available
113539,109197,Assignments,0,available
85485,114571,Assignments,0,available
72113,109133,Assignments,0,available
127857,106496,Assignments,0,available
103013,107054,Assignments,0,available
119852,106045,Assignments,0,available
21524,116657,Assignments,0,available
76051,106499,Assignments,0,deleted
30383,110356,Assignments,0,available
57092,106610,Assignments,0,available
72603,105963,Assignments,0,deleted
35696,111259,Assignments,0,deleted
59744,110663,Assignments,0,available
64339,114161,Assignments,0,available
82745,111043,Assignments,0,available
74957,109941,Assignments,0,available
43881,114223,Assignments,0,available
96050,106485,Assignments,0,available
106850,109328,Assignments,0,deleted
12976,114974,Assignments,0,deleted
2948,116454,Assignments,0,available
60673,114974,Assignments,0,available
3585,106040,Assignments,0,available
136451,108552,Assignments,0,available
109445,115533,Assignments,0,deleted
112674,111367,Assignments,0,available
34965,106161,Assignments,0,available
78127,113957,Assignments,0,available
62227,106486,Assignments,0,available
101046,106042,Assignments,0,available
127518,116531,Assignments,0,deleted
101512,115872,Assignments,0,deleted
21979,106468,Assignments,0,available
6942,108134,Assignments,0,available
117629,116005,Assignments,0,available
127418,109577,Assignments,0,available
11766,106491,August 24th,0,available
133451,113808,Discussions,0,available
45821,114442,Discussions,0,available
103322,116674,Final Grade,0,available
121938,113903,Final Grade,0,available
110193,116675,Final Grade,0,available
125794,109800,Case Summary,0,available
38944,110653,Course Grade,0,available
96911,110652,Course Grade,0,available
105895,115586,Course grade,0,available
134427,115872,Extra Credit,0,available
142169,106383,Extra Credit,0,available
96951,110765,Extra Credit,0,available
6183,116256,Extra Credit,0,available
26826,105960,Extra Credit,0,available
124410,110540,Final Grade ,0,available
51449,114204,Short Essays,0,available
33379,116424,Short Essays,0,available
62171,112995,ClassActivity,0,available
58912,114740,Participation,5,available
118237,106839,Participation,0,available
122270,110772,Final Projects,20,available
36066,110775,Final Projects,20,available
144693,114104,Lecture Videos,0,available
86108,109407,Major Projects,30,available
4361,114323,Participación,7,available
105557,110042,Participation ,15,available
83609,116531,Presentaciones,25,available
35665,107547,Attitude Survey,0,deleted
21973,105961,Great Adventure,5,available
84653,108465,Reading Quizzes,5,available
46816,115218,2017 Quiz Grades,0,available
89460,114845,Discussion Board,0,available
67937,113973,Final Grade Info,0,available
89963,106498,Final Reflection,0,available
23201,105973,Lecture Homework,0,available
86740,115118,Essay Assignments,0,available
28357,106017,Graduate Students,0,available
123550,114323,Pruebas de vocab.,18,deleted
21644,110206,Weekly Activities,0,available
101442,109537,Peer Review Drafts,15,available
112966,109054,Connect Assignments,0,deleted
51598,109056,Connect Assignments,0,available
5830,106850,Final points earned,0,available
11665,108686,Introductory Module,0,available
119441,106384,Reading assignments,0,available
31916,109255,Definition Statement,10,available
136886,116796,Homework Assignments,30,available
88000,105966,Homework Assignments,11,available
4677,116741,Homework Assignments,0,available
107431,107285,Imported Assignments,0,available
113292,114078,Participation points,0,available
147839,109412,Small Stakes Writing,5,available
106479,106009,Final Semester Grades,0,available
46628,106499,Individual Assignments,0,available
62459,109408,Preliminary Reflection,2,available
135971,110673,Assignments and Quizzes,20,available
45495,110175,Attendance/Bonus Points,10,available
120304,111223,Lowest Exam Replacement,0,deleted
130624,113010,Weekly Dendro Challenge,0,available
141230,115211,Doing Gender Assignments,0,available
123710,114104,Introductory Submissions,0,deleted
2205,116652,Programming Assignment I ,0,deleted
37439,106041,Class Preparation Materials,0,available
137892,106037,Class Preparation Materials,0,available
87181,106038,Class Preparation Materials,0,available
15175,108209,Individualized Optional X10,0,available
129317,108208,Individualized Optional X10,0,available
67514,114740,Reading and video responses,30,available
7701,109522,Community Engagement Project,0,available
57660,107547,Unit 1 Reading Assignments & Quizzes,0,deleted
21910,110987,Homework Assignments (MasteringBiology),0,available
648,113647,Review (not counted towards final grade),0,available
126196,116440,GPP,30,available
96300,116441,GPP,30,available
88208,110205,EXAM,0,available
7849,105960,Exam,0,available
26637,109395,Blogs,20,available
95090,116652,Exams,0,available
113490,116270,Exams,0,available
122453,109054,Exams,0,available
81567,105966,Exams,80,available
