UNIVERSITY_ID,COURSE,UNIVERSITY_GPA,HS_GPA,Programs,MAJOR,Transfer,FULL_TITLE,Year,Gender,Generation,Semester,Term,URM
173f2ceb-248d-4cb9-ae75-c1055b0a2473,RA3,2.736482032, ,Undergraduate,Major 1,New Transfer,Research Analytics Course Sample 3,Fourth,Female,Cont.Gen,Fall,Fall 2018,Non-URM
6e1d7df1-4fcb-4003-8bb8-2d9d83aaa2ca,RA3,3.160595821,3.9,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Fourth,Male,Cont.Gen,Fall,Fall 2018,Non-URM
1d0b407b-6859-451a-a949-adb13ae36a2e,RA3,3.751699396,3.8,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
ac258f63-04b3-468e-8532-7e5263353e18,RA3,2.615029955,3.9,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Male,Cont.Gen,Fall,Fall 2018,Non-URM
3c2b9151-3969-4587-821a-a9969c6acbef,RA2,3.804595189,4,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Second,Male,Cont.Gen,Fall,Fall 2018,Non-URM
f75149d1-fbfd-4440-bad7-31fbc0e9a5d6,RA2,3.155910673,3.2,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Third,Male,Cont.Gen,Fall,Fall 2018,Non-URM
6333fd2b-bc9d-4420-924f-7a96a41c9d59,RA2,3.541747827,3.8,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Second,Male,Cont.Gen,Fall,Fall 2018,Non-URM
e29d57f7-3d24-45ec-889c-c07e934fc906,RA2,2.460416709,3.9,Undergraduate,Major 14,New First-Year,Research Analytics Course Sample 2,Third,Female,Cont.Gen,Fall,Fall 2018,Non-URM
2eda2aec-6806-4a1c-b9cb-22af26d6d989,RA3,1.806785637,3.6,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Male,First.Gen,Fall,Fall 2018,URM
32c7dd6f-98d9-45bd-ac44-5ba4bdd3f52c,RA3,3.176074072,3.8,Undergraduate,Major 1,New First-Year,Research Analytics Course Sample 3,Third,Female,First.Gen,Fall,Fall 2018,Non-URM
