course_offering_id,subject,course_number,semester,year,enrollment
89424,GRBA,814,FALL,2016,47
91708,BSAD,220,SPRING,2017,537
95117,LIFE,120,SPRING,2017,224
95148,LIFE,121L,SPRING,2017,22
95180,MATH,100A,SPRING,2017,27
106600,ANTH,242,FALL,2017,56
107339,BSAD,444,FALL,2017,349
107390,BSEN,206,FALL,2017,113
107622,CHEM,109,FALL,2017,101
107815,CHEM,471,FALL,2017,15
108459,CSCE,235,FALL,2017,106
110331,HIST,111,FALL,2017,53
110535,HRTM,285,FALL,2017,29
112213,MUCO,47,FALL,2017,55
114225,SOCI,320,FALL,2017,94
109707,ENGR,10,FALL,2017,128
109708,ENGR,10,FALL,2017,108
110990,LIFE,120,FALL,2017,405
116677,LIFE,120L,FALL,2017,22
114139,SLPA,150,FALL,2017,65
111170,MATH,106,FALL,2017,96
107324,BSAD,220,FALL,2017,37
107285,BSAD,111,FALL,2017,712
118542,BSAD,220,SPRING,2018,347
118755,CHEM,109,SPRING,2018,16
119309,COMM,286,SPRING,2018,25
120317,EDPS,459,SPRING,2018,42
120619,ENGL,330A,SPRING,2018,31
121695,JGEN,200,SPRING,2018,32
122163,MATH,107,SPRING,2018,104
122585,MNGT,360,SPRING,2018,52
122590,MNGT,361,SPRING,2018,80
124206,NUTR,100,SPRING,2018,68
124214,NUTR,244,SPRING,2018,72
124549,PHYS,212,SPRING,2018,15
124672,POLS,286,SPRING,2018,37
124932,SCMA,335,SPRING,2018,38
125028,SLPA,968,SPRING,2018,34
128708,nan,,SPRING,2019,757
89392,ECON,200,FALL,2016,130
89909,DSGN,120,FALL,2016,18
90430,AECN,256,SPRING,2017,122
91522,BIOS,214,SPRING,2017,48
94061,FINA,850,SPRING,2017,44
94309,GERO,200,SPRING,2017,41
99572,HIST,402,SPRING,2017,24
97657,PHIL,101,SPRING,2017,67
98030,PSYC,181,SPRING,2017,148
93119,DSGN,111,SPRING,2017,18
107018,BIOC,321,FALL,2017,137
107409,BSEN,414,FALL,2017,21
